id,Tr,olng,olat,dlng,dlat,episode
11,1249.3087339837368,121.25917,31.34388,121.25368999999999,31.34388,None
12,1405.0240061095642,121.28168000000001,31.33639,121.31827,31.33639,None
13,1462.5341865238665,121.27571999999999,31.39075,121.31634,31.39075,None
14,1529.678915705186,121.26077,31.3636,121.20641,31.3636,None
15,1568.2306317859454,121.24060800000001,31.373803999999996,121.27815,31.373803999999996,None
16,1782.6780231265398,121.31543,31.27304,121.29982,31.27304,None
17,2117.5279341495752,121.2701,31.38747,121.23778,31.38747,None
18,2320.0877980545233,121.25988999999998,31.366909999999997,121.24535900000001,31.366909999999997,None
19,2322.431863215118,121.30363,31.312640000000002,121.31282,31.312640000000002,None
20,2434.764856279096,121.25295,31.369190000000003,121.28438999999999,31.369190000000003,None
21,2606.1940146682855,121.30596200000001,31.339188,121.26793,31.339188,None
22,2645.340920080508,121.257957,31.347834000000002,121.25344,31.347834000000002,None
23,2655.090495901639,121.292061,31.292919,121.25606,31.292919,None
24,2749.672789068221,121.29593999999999,31.299359999999997,121.32491999999999,31.299359999999997,None
25,2766.914321227885,121.21673999999999,31.3192,121.19811000000001,31.3192,None
26,2799.417617079869,121.31634,31.31665,121.3212,31.31665,None
27,2906.894556125489,121.27571999999999,31.39075,121.31634,31.39075,None
28,2907.9803509966573,121.21796,31.31662,121.20433,31.31662,None
29,2996.086685075362,121.22263000000001,31.28973,121.23355,31.28973,None
30,3040.8974383553077,121.259499,31.359509999999997,121.25878,31.359509999999997,None
31,3045.120832970954,121.24172,31.355990000000002,121.260159,31.355990000000002,None
32,3279.7652324294863,121.271599,31.387596000000002,121.25641,31.387596000000002,None
33,3394.7269645773126,121.25894,31.354490000000002,121.28123000000001,31.354490000000002,None
34,3479.223259222644,121.278778,31.377981,121.28068999999999,31.377981,None
35,3499.5931621278305,121.238289,31.284651,121.200768,31.284651,None
36,3531.0040294411233,121.29960600000001,31.331404,121.24513,31.331404,None
37,3568.00674622022,121.26043,31.347790000000003,121.24565,31.347790000000003,None
38,3614.8092941764935,121.21141000000001,31.279870000000003,121.23821000000001,31.279870000000003,None
39,3715.5783796097944,121.254745,31.371744,121.30134,31.371744,None
40,3782.682211974027,121.26686000000001,31.36285,121.24311999999999,31.36285,None
41,3856.2816541463458,121.259102,31.344709,121.25441699999999,31.344709,None
