sar,orp,dqn,time
0.0,0.0,0.0,0.0
0.0,0.0,0.0,30.0
0.0,0.0,0.0,60.0
0.0,0.0,0.0,90.0
0.0,0.0,0.0,120.0
0.0,0.0,0.0,150.0
0.0,0.0,0.0,180.0
0.0,0.0,0.0,210.0
0.0,0.0,0.0,240.0
0.0,0.0,0.0,270.0
0.0,0.0,0.0,300.0
0.0,0.0,0.0,330.0
0.0,0.0,0.0,360.0
0.0,0.0,0.0,390.0
0.0,0.0,0.0,420.0
0.0,0.0,0.0,450.0
0.0,0.0,0.0,480.0
0.0,0.0,0.0,510.0
0.0,0.0,0.0,540.0
0.0,0.0,0.0,570.0
0.0,0.0,0.0,600.0
0.0,0.0,0.0,630.0
0.0,0.0,0.0,660.0
0.0,0.0,0.0,690.0
0.0,0.0,0.0,720.0
0.0,0.0,0.0,750.0
0.0,0.0,0.0,780.0
0.0,0.0,0.0,810.0
0.0,0.0,0.0,840.0
0.0,0.0,0.0,870.0
0.0,0.0,0.0,900.0
0.0,0.0,0.0,930.0
0.0,0.0,0.0,960.0
0.0,0.0,0.0,990.0
0.0,0.0,0.0,1020.0
0.0,0.0,0.0,1050.0
0.0,0.0,0.0,1080.0
0.0,0.0,0.0,1110.0
0.0,0.0,0.0,1140.0
0.0,0.0,0.0,1170.0
0.0,0.0,0.0,1200.0
0.0,0.0,0.0,1230.0
0.0,0.0,0.0,1260.0
0.0,0.0,0.0,1290.0
0.0,0.0,0.0,1320.0
0.0,0.0,0.0,1350.0
0.0,0.0,0.0,1380.0
0.0,0.0,0.0,1410.0
0.0,0.0,0.0,1440.0
0.0,0.0,0.0,1470.0
0.0,0.0,0.0,1500.0
0.0,0.0,0.0,1530.0
0.0,0.0,0.0,1560.0
0.0,0.0,0.0,1590.0
0.0,0.0,0.0,1620.0
0.0,0.0,0.0,1650.0
0.0,0.0,0.0,1680.0
0.0,0.0,0.0,1710.0
0.0,0.0,0.0,1740.0
0.0,0.0,0.0,1770.0
0.0,0.0,0.0,1800.0
72.0,121.76948755381859,24.0,1830.0
144.0,241.76948755381858,48.0,1860.0
216.0,361.7694875538186,72.0,1890.0
288.0,457.7694875538185,96.0,1920.0
360.0,525.9422675094715,120.0,1950.0
450.44902968945155,573.9422675094715,144.0,1980.0
522.4490296894515,621.9422675094715,168.0,2010.0
594.4490296894515,669.9422675094715,192.0,2040.0
666.4490296894515,717.9422675094715,216.0,2070.0
714.4490296894515,765.9422675094715,240.0,2100.0
786.4490296894515,837.9422675094717,264.0,2130.0
858.4490296894515,885.9422675094717,288.0,2160.0
906.4490296894515,933.9422675094717,312.0,2190.0
954.4490296894515,981.9422675094717,336.0,2220.0
978.4490296894515,1029.9422675094715,360.0,2250.0
1002.4490296894515,1068.1508819411279,360.0,2280.0
1026.4490296894514,1092.1508819411279,360.0,2310.0
1050.4490296894514,1116.1508819411279,360.0,2340.0
1074.4490296894514,1140.1508819411279,360.0,2370.0
1098.4490296894514,1164.1508819411279,360.0,2400.0
1122.4490296894514,1212.1508819411279,360.0,2430.0
1146.4490296894514,1260.1508819411279,360.0,2460.0
1170.4490296894514,1308.1508819411279,360.0,2490.0
1194.4490296894514,1356.1508819411279,360.0,2520.0
1194.4490296894514,1404.1508819411279,360.0,2550.0
1194.4490296894514,1452.1508819411279,384.0,2580.0
