no,sar,orp,dqn,time
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,30
0.0,0.0,0.0,0.0,60
0.0,0.0,0.0,0.0,90
0.0,0.0,0.0,0.0,120
0.0,0.0,0.0,0.0,150
94.57608012120546,0.0,0.0,72.22735771157988,180
94.57608012120546,0.0,136.4972262209958,72.22735771157988,210
94.57608012120546,0.0,136.4972262209958,72.22735771157988,240
94.57608012120546,0.0,136.4972262209958,72.22735771157988,270
48.99344898707435,0.0,157.45693040389864,72.22735771157988,300
95.91965574493207,0.0,157.45693040389864,72.22735771157988,330
95.91965574493207,0.0,157.45693040389864,72.22735771157988,360
95.91965574493207,0.0,157.45693040389864,72.22735771157988,390
95.91965574493207,0.0,157.45693040389864,72.22735771157988,420
95.91965574493207,0.0,221.21634649038901,72.22735771157988,450
95.91965574493207,0.0,221.21634649038901,72.22735771157988,480
95.91965574493207,0.0,221.21634649038901,72.22735771157988,510
95.91965574493207,0.0,216.8036958929587,72.22735771157988,540
95.91965574493207,0.0,216.8036958929587,72.22735771157988,570
95.91965574493207,0.0,216.8036958929587,72.22735771157988,600
95.91965574493207,0.0,195.0440583192753,148.42206629961365,630
95.91965574493207,0.0,195.0440583192753,148.42206629961365,660
95.91965574493207,0.0,195.0440583192753,148.42206629961365,690
95.91965574493207,0.0,227.58650186564796,121.68668308973723,720
194.99762829709078,0.0,227.58650186564796,121.68668308973723,750
199.78058035979612,0.0,227.58650186564796,121.68668308973723,780
199.78058035979612,0.0,227.58650186564796,121.68668308973723,810
199.78058035979612,0.0,227.58650186564796,111.3817195734223,840
217.54180564227028,0.0,227.58650186564796,111.3817195734223,870
217.54180564227028,0.0,227.58650186564796,111.3817195734223,900
216.51388044247784,123.26841844340208,227.58650186564796,111.3817195734223,930
216.51388044247784,123.26841844340208,227.58650186564796,111.3817195734223,960
216.51388044247784,123.26841844340208,211.7859043993614,111.3817195734223,990
204.68041776652962,123.26841844340208,211.7859043993614,135.94136892279357,1020
204.68041776652962,85.92939262430451,211.7859043993614,135.94136892279357,1050
204.68041776652962,85.92939262430451,211.7859043993614,210.8873665543961,1080
235.63702882898085,85.92939262430451,211.7859043993614,210.8873665543961,1110
235.63702882898085,108.38689928907138,211.7859043993614,210.8873665543961,1140
235.63702882898085,108.38689928907138,211.7859043993614,210.8873665543961,1170
235.63702882898085,108.38689928907138,211.7859043993614,194.31101579093811,1200
235.63702882898085,108.38689928907138,200.3156353925584,184.9976336659997,1230
235.63702882898085,177.39740754589133,200.3156353925584,184.9976336659997,1260
256.66325132361095,177.39740754589133,190.53301414858365,180.1098952458295,1290
256.66325132361095,177.39740754589133,186.5454881831687,180.1098952458295,1320
256.66325132361095,177.39740754589133,179.41565577870858,180.1098952458295,1350
247.41794423924205,177.39740754589133,186.59243650222217,180.1098952458295,1380
267.57194600088206,177.39740754589133,208.34796206479345,180.1098952458295,1410
267.57194600088206,221.67607217922833,208.34796206479345,180.1098952458295,1440
267.57194600088206,221.67607217922833,208.34796206479345,180.1098952458295,1470
256.29538425528835,206.88004975164844,217.96922313055143,220.44746495091502,1500
267.7440862385785,206.88004975164844,217.96922313055143,220.44746495091502,1530
267.7440862385785,206.88004975164844,217.96922313055143,220.44746495091502,1560
261.11833639312147,206.88004975164844,217.96922313055143,220.44746495091502,1590
261.11833639312147,224.59949014133832,217.96922313055143,220.44746495091502,1620
261.11833639312147,224.59949014133832,217.96922313055143,243.37425180603327,1650
261.11833639312147,224.59949014133832,217.96922313055143,243.37425180603327,1680
261.11833639312147,254.76259230137157,220.22775862287742,243.37425180603327,1710
261.11833639312147,254.76259230137157,220.2731920192915,243.37425180603327,1740
261.11833639312147,254.76259230137157,220.2731920192915,243.37425180603327,1770
261.11833639312147,254.76259230137157,211.5299895706365,243.37425180603327,1800
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,1830
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,1860
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,1890
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,1920
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,1950
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,1980
261.11833639312147,254.76259230137157,201.97585111439898,243.37425180603327,2010
261.11833639312147,256.6340878289022,201.97585111439898,243.37425180603327,2040
283.0587842414428,272.6233296058446,201.97585111439898,250.11316671878956,2070
283.0587842414428,272.6233296058446,201.97585111439898,270.2096938900995,2100
283.0587842414428,272.6233296058446,196.38918548450553,270.2096938900995,2130
283.0587842414428,272.6233296058446,199.06587974118318,270.2096938900995,2160
283.0587842414428,260.72721140732506,199.06587974118318,270.2096938900995,2190
283.0587842414428,260.72721140732506,199.06587974118318,271.86670120268803,2220
283.0587842414428,242.9110354603665,199.06587974118318,271.86670120268803,2250
290.6548930848825,242.9110354603665,199.06587974118318,271.86670120268803,2280
290.6548930848825,259.8917298902927,199.06587974118318,271.86670120268803,2310
301.7456335667053,259.8917298902927,199.06587974118318,271.86670120268803,2340
301.7456335667053,275.0586498172635,199.06587974118318,284.7872241192386,2370
301.7456335667053,275.0586498172635,199.06587974118318,277.5574508128279,2400
301.7456335667053,271.99610794044645,199.06587974118318,277.5574508128279,2430
301.7456335667053,266.43439058801215,204.64080261170767,277.5574508128279,2460
301.7456335667053,266.43439058801215,204.64080261170767,277.5574508128279,2490
290.4133751628376,266.43439058801215,204.64080261170767,277.5574508128279,2520
290.4133751628376,266.43439058801215,204.64080261170767,277.5574508128279,2550
290.4133751628376,278.2145867627237,204.64080261170767,277.5574508128279,2580
290.4133751628376,278.2145867627237,204.64080261170767,277.5574508128279,2610
290.4133751628376,280.87830645805496,209.63515147874753,268.62671107571185,2640
292.59558357764496,280.87830645805496,209.63515147874753,268.62671107571185,2670
300.6290853935837,280.87830645805496,209.63515147874753,268.62671107571185,2700
302.7578956720732,280.87830645805496,220.1670865530792,268.62671107571185,2730
301.27335222068984,291.4133406060491,220.1670865530792,268.62671107571185,2760
301.27335222068984,291.4133406060491,218.37271555438699,268.62671107571185,2790
301.27335222068984,285.71023466308327,218.37271555438699,268.62671107571185,2820
301.27335222068984,285.71023466308327,218.37271555438699,282.364619208342,2850
301.27335222068984,285.71023466308327,218.37271555438699,282.364619208342,2880
301.27335222068984,285.71023466308327,218.37271555438699,282.364619208342,2910
301.27335222068984,285.71023466308327,218.37271555438699,282.364619208342,2940
301.27335222068984,295.1016131396623,218.37271555438699,282.364619208342,2970
301.27335222068984,295.1016131396623,218.37271555438699,282.364619208342,3000
307.6726795840833,295.1016131396623,218.37271555438699,282.364619208342,3030
316.5841362353784,295.1016131396623,218.37271555438699,289.4696377590719,3060
320.7807038821682,289.2891971850173,218.37271555438699,289.4696377590719,3090
320.7807038821682,289.2891971850173,218.37271555438699,292.36158146099575,3120
320.7807038821682,289.2891971850173,221.66246784404063,292.36158146099575,3150
320.7807038821682,289.2891971850173,228.7134400176965,292.36158146099575,3180
