id,lng,lat,tlng,tlat,stime,etime,type
0,121.25836,31.34348,121.25836,31.34348,0.0,0.0,before_rebalance
0,121.25836,31.34348,121.274605,31.367844,0.0,389.6907637709339,after_rebalance
0,121.2596106070077,31.345355641067105,121.31184,31.36965,30.0,735.9222868748071,after_assign
0,121.31184,31.36965,121.25641,31.36326,2400.0,3063.8147419156794,before_rebalance
0,121.2679826386024,31.381801821912426,121.254417,31.330149,3030.0,3765.775777115099,after_assign
0,121.254417,31.330149,121.27072,31.3487795,3900.0,4223.286398622849,after_rebalance
0,121.25744273818188,31.333606708102664,121.28173,31.335618,3960.0,4249.692144526239,after_assign
0,121.28052427994992,31.335902929760014,121.27981,31.33207,4710.0,4763.9459720429495,after_assign
0,121.27445688717512,31.331792724599982,121.32171,31.29499,4920.0,5679.290382376814,after_assign
0,121.32171,31.29499,121.31679942857141,31.280008714285714,6000.0,6216.245282220063,after_rebalance
0,121.31830374897464,31.284598130017585,121.31830374897464,31.284598130017585,6150.0,6150.0,after_rebalance
0,121.31830374897464,31.284598130017585,121.31506350000001,31.2713135,6300.0,6488.617239167608,after_rebalance
0,121.31572690420508,31.274033377233422,121.32947,31.291559999999997,6450.0,6743.249863327821,after_rebalance
0,121.3227566240005,31.2829984058447,121.31506350000001,31.2713135,6600.0,6786.359510674961,after_rebalance
0,121.31656446028481,31.273593273418914,121.32947,31.291559999999997,6750.0,7043.025703142771,after_rebalance
0,121.32317081234378,31.28279044949685,121.32317081234378,31.28279044949685,6900.0,6900.0,after_rebalance
1,121.17809,31.3574,121.17809,31.3574,0.0,0.0,before_rebalance
1,121.17809,31.3574,121.2078085,31.4018455,0.0,711.3336936644246,after_rebalance
1,121.18435678454807,31.366772289066827,121.17809,31.3574,150.0,300.00688095827445,after_rebalance
1,121.17809028746336,31.35740042991581,121.2078085,31.4018455,300.0,1011.3268126217502,after_rebalance
1,121.184357072015,31.366772718987914,121.2001,31.39325,450.0,862.7167870001563,after_rebalance
1,121.19007876609707,31.37639576383831,121.190926,31.332891,600.0,1204.7722427086157,after_rebalance
1,121.1902889031974,31.36560539663077,121.1902889031974,31.36560539663077,750.0,750.0,after_rebalance
1,121.1902889031974,31.36560539663077,121.27688700000002,31.319613,1170.0,2380.5649153089125,after_assign
1,121.21462615608128,31.34011055293665,121.29688,31.3496,1650.0,2635.2854765124493,before_rebalance
1,121.29592859736893,31.3480470907468,121.25911,31.34381,2940.0,3381.0104394333766,after_assign
1,121.26013798037651,31.343063118616797,121.31363,31.34867,3660.0,4299.749574412717,after_assign
1,121.31363,31.34867,121.25738,31.32822,5070.0,5795.754378675389,after_assign
1,121.261857471476,31.328793304097644,121.28478,31.32985,5760.0,6032.5492285953505,after_assign
1,121.27510339398657,31.331826211739262,121.28608,31.35812,6570.0,6958.000500020069,after_assign
1,121.27614259904638,31.339094477436962,121.29704,31.36425,7080.0,7508.69711896477,after_assign
2,121.25732,31.34778,121.25732,31.34778,0.0,0.0,before_rebalance
2,121.25732,31.34778,121.2707325,31.365346999999996,0.0,291.48370992821117,after_rebalance
2,121.26422218674826,31.356820127836468,121.25194,31.34083,150.0,415.8041108341001,before_rebalance
2,121.25285979486479,31.34253789878891,121.28478,31.32985,420.0,837.97811974364,after_assign
2,121.28051908731165,31.332872687102142,121.323511,31.296995000000006,1020.0,1733.6519209256714,after_assign
2,121.323511,31.296995000000006,121.31237,31.29515,1980.0,2114.782968534893,after_assign
2,121.31237,31.29515,121.3231515,31.3123705,2550.0,2821.4493838617373,after_rebalance
2,121.31832774054445,31.30466586245381,121.31832774054445,31.30466586245381,2700.0,2700.0,after_rebalance
2,121.31832774054445,31.30466586245381,121.3186410625,31.288872062499994,3150.0,3369.5553419018797,after_rebalance
2,121.31854180180538,31.293875553402124,121.31655083333332,31.278921666666665,3300.0,3509.1906031993085,after_rebalance
2,121.31711417902383,31.283152877641285,121.31711417902383,31.283152877641285,3450.0,3450.0,after_rebalance
2,121.31711417902383,31.283152877641285,121.31988,31.2879,3540.0,3613.7085600334553,after_assign
2,121.31988,31.2879,121.323511,31.296995000000006,4380.0,4513.5687273255935,after_assign
2,121.323511,31.296995000000006,121.3171498333333,31.281745666666666,5400.0,5625.020351236869,after_rebalance
2,121.31927060576562,31.286829697228818,121.31927060576562,31.286829697228818,5550.0,5550.0,after_rebalance
2,121.31927060576562,31.286829697228818,121.31506350000001,31.2713135,5700.0,5921.380158042354,after_rebalance
2,121.31642000763424,31.27631642627941,121.3075,31.26622,5850.0,6025.8501917639,after_rebalance
2,121.30881125195582,31.26770418692544,121.322832,31.28939899999999,6000.0,6344.484019642901,after_rebalance
2,121.31491636013705,31.277150842722587,121.32622333333332,31.29662666666667,6150.0,6452.187441780812,after_rebalance
2,121.32052892288769,31.28681826495032,121.31506350000001,31.2713135,6300.0,6525.0736657558555,after_rebalance
2,121.31688650017068,31.27648513808389,121.32947,31.291559999999997,6450.0,6707.381555945445,after_rebalance
2,121.32422006751766,31.285270652178358,121.32422006751766,31.285270652178358,6600.0,6600.0,after_rebalance
2,121.32422006751766,31.285270652178358,121.31543,31.27304,6750.0,6949.505622186976,after_rebalance
2,121.31761118044372,31.27607493224504,121.32947,31.291559999999997,6900.0,7157.231301277142,after_rebalance
2,121.32452644668312,31.28510478262372,121.32452644668312,31.28510478262372,7050.0,7050.0,after_rebalance
3,121.264136,31.383556,121.264136,31.383556,0.0,0.0,before_rebalance
3,121.264136,31.383556,121.275528,31.407579,0.0,360.2223429915038,after_rebalance
